Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,U23 Women,O'CALLAGHAN Georgia,16,24,16,,,
2025,World Championships,U23 Women,GUTIERREZ Malen,17,-,-,,,
2025,World Championships,U23 Women,HORLOVA Oleksandra,18,39,20,,,
2025,World Championships,U23 Women,LOGACHEVA Taisiia,19,41,14,,,
2025,World Championships,U23 Women,PINTERIC Naja,20,25,11,,,
2025,World Championships,U23 Women,PANZLAFF Jannemien,21,-,-,,,
2025,World Championships,U23 Women,CORCORAN Michaela,22,-,-,,,
2025,World Championships,U23 Women,CROSBEE Sarah,23,31,44,,,
2025,World Championships,U23 Women,STERRY Sadie,24,-,-,,,
2025,World Championships,U23 Women,CULLWICK Kahlia,25,27,39,,,
2025,World Championships,U23 Women,GONZALEZ Clara,26,-,-,,,
2025,World Championships,U23 Women,HORLOVA Valentyna,27,32,33,,,
2025,World Championships,U23 Women,PESCE-ROUE Nina,28,45,-,,,
2025,World Championships,U23 Women,LIU Gaoyi,29,40,-,,,
2025,World Championships,U23 Women,BELINGAR Sara,30,14,-,,,
2025,World Championships,U23 Women,NOVYSH Marina,31,16,15,,,
2025,World Championships,U23 Women,BEDNARCZYK Martyna,32,-,-,,,
2025,World Championships,U23 Women,TARANTSEVA Yekaterina,33,20,47,,,
2025,World Championships,U23 Women,LIBER Katarzyna,34,-,-,,,
2025,World Championships,U23 Women,DURATNA Stanislava,35,-,-,,,
2025,World Championships,U23 Women,LOPEZ Nora,36,-,-,,,
2025,World Championships,U23 Women,NIAMTHONG Jaruwan,37,48,51,,,
2025,World Championships,U23 Women,BUETIKOFER Fia,38,-,23,,,
2025,World Championships,U23 Women,ALTMAN Marcella,39,26,6,,,
2025,World Championships,U23 Women,SOMMERNES Iris,40,42,42,,,
2025,World Championships,U23 Women,CHOMKOGSUNG Kanda,41,-,-,,,
2025,World Championships,U23 Women,CLEMENTS Claire,42,35,40,,,
2025,World Championships,U23 Women,PLATA Laura,43,49,24,,,
2025,World Championships,U23 Women,LEAVER Lois,-,3,2,,,
2025,World Championships,U23 Women,BRZESKA Dominika,-,5,26,,,
2025,World Championships,U23 Women,BEKOVA Katerina,-,6,3,,,
2025,World Championships,U23 Women,PIRRO Paulina,-,7,27,,,
2025,World Championships,U23 Women,PIGNAT Caterina,-,9,34,,,
2025,World Championships,U23 Women,CHLEBOVA Ivana,-,10,22,,,
2025,World Championships,U23 Women,MRAZKOVA Klara,-,11,-,,,
2025,World Championships,U23 Women,SEGURA Haizea,-,12,5,,,
2025,World Championships,U23 Women,MATTI Svenja,-,15,12,,,
2025,World Championships,U23 Women,WU Ting-I,-,17,35,,,
2025,World Championships,U23 Women,KANG Macy,-,18,19,,,
2025,World Championships,U23 Women,OLSON Beatrice,-,19,30,,,
2025,World Championships,U23 Women,DANEK Dominika,-,20,-,,,
2025,World Championships,U23 Women,VUITTON Emma,-,22,17,,,
2025,World Championships,U23 Women,SRIBAR Ria,-,23,32,,,
2025,World Championships,U23 Women,NESNIDALOVA Lucie,-,28,-,,,
2025,World Championships,U23 Women,GONI Leire,-,29,18,,,
2025,World Championships,U23 Women,PLOCHMANN Antonia,-,30,10,,,
2025,World Championships,U23 Women,ZOU Yuhan,-,33,-,,,
